"ProductMedia-module__xopx3q__imageLink href","ProductMedia-module__xopx3q__singleImage src","SizePicker-module__WzYwuW__sizePickerAddToBagButton","SizePicker-module__WzYwuW__sizePickerAddToBagButton 2","SizePicker-module__WzYwuW__sizePickerAddToBagButton 3","SizePicker-module__WzYwuW__sizePickerAddToBagButton 4","SizePicker-module__WzYwuW__sizePickerAddToBagButton 5","SizePicker-module__WzYwuW__sizePickerAddToBagButton 6","ProductTitle-module__7eNKla__productTitle","srOnly-module__3MmknW__className 2","SinglePrice-module__y_asRG__center","ProductMedia-module__xopx3q__mediaWrapper href","ProductMedia-module__xopx3q__mediaWrapper src","ProductMedia-module__xopx3q__mediaWrapper src 2","ProductMedia-module__xopx3q__mediaWrapper src 3","ProductMedia-module__xopx3q__mediaWrapper src 4","ProductMedia-module__xopx3q__mediaWrapper href 5","ProductMedia-module__xopx3q__mediaWrapper src 5","ProductMedia-module__xopx3q__mediaWrapper href 6","ProductMedia-module__xopx3q__mediaWrapper src 6","ProductMedia-module__xopx3q__mediaWrapper href 7","ProductMedia-module__xopx3q__mediaWrapper src 7","ProductMedia-module__xopx3q__mediaWrapper src 8","ProductMedia-module__xopx3q__mediaWrapper href 9","ProductMedia-module__xopx3q__mediaWrapper src 9","ProductMedia-module__xopx3q__mediaWrapper href 10","ProductMedia-module__xopx3q__mediaWrapper src 10","srOnly-module__3MmknW__className 3","ColorBullet-module__BR9stq__colorBullet src","ColorBullet-module__BR9stq__colorBullet src 2","ColorBullet-module__BR9stq__colorBullet src 3"
"https://shop.mango.com/in/en/p/men/shirts/linen/regular-fit-cotton-linen-blend-shirt/37081424/10/00","https://media.mango.com/is/image/punto/37081424-10-508?wid=2048&hei=1430&fit=crop","XS","S","M","L","XL","XXL","Regular fit cotton-linen blend shirt","Current price [Rs. 4,999.00 ]","Rs. 4,999.00","","","","","","","","","","","","","","","","","","","",""
"","","38","40","42","44","46","48","Regular-fit jeans in a cotton-linen blend","Current price [Rs. 6,199.00 ]","Rs. 6,199.00","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37063894-05-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37063894-05-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37063894-05-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-501?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37063894-05-023?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/jeans/regular/regular-fit-jeans-in-a-cotton-linen-blend/37063894/05/00","https://media.mango.com/is/image/punto/37063894-05-030?wid=2048&hei=2867&fit=crop","","","",""
"","","XS","S","M","L","XL","XXL","100% cotton checked bowling collar shirt","Current price [Rs. 4,990.00 ]","Rs. 4,990.00","https://shop.mango.com/in/en/p/men/shirts/check/100-cotton-checked-bowling-collar-shirt/37072897/02/00","https://media.mango.com/is/image/punto/37072897-02-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37072897-02-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37072897-02-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37072897-02-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/check/100-cotton-checked-bowling-collar-shirt/37072897/02/00","https://media.mango.com/is/image/punto/37072897-02-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/check/100-cotton-checked-bowling-collar-shirt/37072897/02/00","https://media.mango.com/is/image/punto/37072897-02-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/check/100-cotton-checked-bowling-collar-shirt/37072897/02/00","https://media.mango.com/is/image/punto/37072897-02-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37072897-02-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/check/100-cotton-checked-bowling-collar-shirt/37072897/02/00","https://media.mango.com/is/image/punto/37072897-02-030?wid=2048&hei=2867&fit=crop","","","","","",""
"","","S","M","L","XL","XXL","","Regular fit cotton blend textured shirt","Current price [Rs. 3,699.00 ]","Rs. 3,699.00","https://shop.mango.com/in/en/p/men/shirts/short-sleeve/regular-fit-cotton-blend-textured-shirt/37092897/30/00","https://media.mango.com/is/image/punto/37092897-30-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37092897-30-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37092897-30-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37092897-30-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/short-sleeve/regular-fit-cotton-blend-textured-shirt/37092897/30/00","https://media.mango.com/is/image/punto/37092897-30-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/short-sleeve/regular-fit-cotton-blend-textured-shirt/37092897/30/00","https://media.mango.com/is/image/punto/37092897-30-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/short-sleeve/regular-fit-cotton-blend-textured-shirt/37092897/30/00","https://media.mango.com/is/image/punto/37092897-30-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37092897-30-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/shirts/short-sleeve/regular-fit-cotton-blend-textured-shirt/37092897/30/00","https://media.mango.com/is/image/punto/37092897-30-030?wid=2048&hei=2867&fit=crop","","","Colours","https://media.mango.com/is/image/punto/37092897-30-020?wid=40","https://media.mango.com/is/image/punto/37092897-99-020?wid=40",""
"","","One size","","","","","","Braided crossbody bag with long handle","Current price [Rs. 4,999.00 ]","Rs. 4,999.00","https://shop.mango.com/in/en/p/men/backpacks-and-bags/bags/braided-crossbody-bag-with-long-handle/37041356/30/00","https://media.mango.com/is/image/punto/37041356-30-505?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37041356-30-052?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37041356-30-053?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37041356-30-054?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/backpacks-and-bags/bags/braided-crossbody-bag-with-long-handle/37041356/30/00","https://media.mango.com/is/image/punto/37041356-30-900?wid=2048&hei=2867&fit=crop","","","","","","","","","","","","",""
"https://shop.mango.com/in/en/p/men/blazers/casual/slim-fit-cotton-lyocell-blend-blazer/37082891/30/00","https://media.mango.com/is/image/punto/37082891-30-508?wid=2048&hei=1430&fit=crop","46","48","50","52","54","56","Slim fit cotton lyocell blend blazer","Current price [Rs. 11,999.00 ]","Rs. 11,999.00","","","","","","","","","","","","","","","","","","","",""
"","","S","M","L","XL","XXL","","Textured cotton blend polo","Current price [Rs. 3,999.00 ]","Rs. 3,999.00","https://shop.mango.com/in/en/p/men/polos/knitwear/textured-cotton-blend-polo/37042898/30/00","https://media.mango.com/is/image/punto/37042898-30-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042898-30-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042898-30-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042898-30-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/polos/knitwear/textured-cotton-blend-polo/37042898/30/00","https://media.mango.com/is/image/punto/37042898-30-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/polos/knitwear/textured-cotton-blend-polo/37042898/30/00","https://media.mango.com/is/image/punto/37042898-30-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/polos/knitwear/textured-cotton-blend-polo/37042898/30/00","https://media.mango.com/is/image/punto/37042898-30-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042898-30-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/polos/knitwear/textured-cotton-blend-polo/37042898/30/00","https://media.mango.com/is/image/punto/37042898-30-030?wid=2048&hei=2867&fit=crop","","","Colours","https://media.mango.com/is/image/punto/37042898-30-020?wid=40","https://media.mango.com/is/image/punto/37042898-01-020?wid=40","https://media.mango.com/is/image/punto/37042898-08-020?wid=40"
"","","38","40","42","44","46","48","Slim fit cotton lyocell suit trousers","Current price [Rs. 6,499.00 ]","Rs. 6,499.00","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37022893-30-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37022893-30-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37022893-30-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-007?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37022893-30-023?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/slim-fit/slim-fit-cotton-lyocell-suit-trousers/37022893/30/00","https://media.mango.com/is/image/punto/37022893-30-030?wid=2048&hei=2867&fit=crop","","","",""
"https://shop.mango.com/in/en/p/men/shirts/printed/printed-relaxed-fit-shirt/37062907/10/00","https://media.mango.com/is/image/punto/37062907-10-508?wid=2048&hei=1430&fit=crop","XS","S","M","L","XL","XXL","Printed relaxed fit shirt","Current price [Rs. 4,499.00 ]","Rs. 4,499.00","","","","","","","","","","","","","","","","","","","",""
"","","38","40","42","44","46","48","Relaxed fit cotton-linen blend trousers","Current price [Rs. 5,299.00 ]","Rs. 5,299.00","https://shop.mango.com/in/en/p/men/trousers/linen/relaxed-fit-cotton-linen-blend-trousers/37042889/02/00","https://media.mango.com/is/image/punto/37042889-02-500?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042889-02-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042889-02-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042889-02-003?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/linen/relaxed-fit-cotton-linen-blend-trousers/37042889/02/00","https://media.mango.com/is/image/punto/37042889-02-004?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/linen/relaxed-fit-cotton-linen-blend-trousers/37042889/02/00","https://media.mango.com/is/image/punto/37042889-02-008?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/linen/relaxed-fit-cotton-linen-blend-trousers/37042889/02/00","https://media.mango.com/is/image/punto/37042889-02-023?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37042889-02-900?wid=2048&hei=2867&fit=crop","https://shop.mango.com/in/en/p/men/trousers/linen/relaxed-fit-cotton-linen-blend-trousers/37042889/02/00","https://media.mango.com/is/image/punto/37042889-02-030?wid=2048&hei=2867&fit=crop","","","Colours","https://media.mango.com/is/image/punto/37042889-02-020?wid=40","https://media.mango.com/is/image/punto/37042889-56-020?wid=40","https://media.mango.com/is/image/punto/37042889-08-020?wid=40"
