Handle,Title,Description,Status,Thumbnail,Image 1,Image 2,Image 3,Profile Name,Option 1 Name,Option 1 Value,Variant SKU,Variant Inventory Quantity,Variant Manage Inventory,Variant Allow Backorder,Variant Price [INR]
"ribbed-cotton-linen-blend-t-shirt-1","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","S","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-1-S",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-1","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","M","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-1-M",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-1","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","L","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-1-L",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-1","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-1-XL",100,TRUE,FALSE,3899
"ribbed-cotton-linen-blend-t-shirt-1","Ribbed cotton-linen blend T-shirt","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37051437-56-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37051437-56-004?wid=2048&hei=2867&fit=crop","Default","Size","XXL","RIBBED-COTTON-LINEN-BLEND-T-SHIRT-1-XXL",100,TRUE,FALSE,3899
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","XS","SLIM-FIT-T-SHIRT-180GSM-2-XS",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","S","SLIM-FIT-T-SHIRT-180GSM-2-S",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","M","SLIM-FIT-T-SHIRT-180GSM-2-M",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","L","SLIM-FIT-T-SHIRT-180GSM-2-L",100,TRUE,FALSE,1290
"slim-fit-t-shirt-180gsm-2","Slim fit T-shirt 180gsm","Premium quality T-shirt from Mango.","published","https://media.mango.com/is/image/punto/37011432-96-002?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-001?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-003?wid=2048&hei=2867&fit=crop","https://media.mango.com/is/image/punto/37011432-96-004?wid=2048&hei=2867&fit=crop","Default","Size","XL","SLIM-FIT-T-SHIRT-180GSM-2-XL",100,TRUE,FALSE,1290
